File Name,Timestamp (s),Pitch Value
audio927.webm,0.5,374627.59375
audio927.webm,1.0,395019.59375
audio927.webm,1.5,367042.75
audio927.webm,2.0,435861.46875
audio927.webm,2.5,453710.96875
audio927.webm,3.0,401085.3125
audio927.webm,3.5,414020.71875
audio927.webm,4.0,373164.59375
audio927.webm,4.5,388871.46875
audio927.webm,5.0,393644.90625
audio927.webm,5.5,377339.5625
audio927.webm,6.0,379436.84375
audio927.webm,6.5,404192.40625
audio927.webm,7.0,398461.59375
audio927.webm,7.5,429180.5
audio927.webm,8.0,370061.84375
audio927.webm,8.5,388395.5625
audio927.webm,9.0,399655.5625
audio927.webm,9.5,393608.90625
audio927.webm,10.0,392415.96875
audio927.webm,10.5,388978.96875
audio927.webm,11.0,419805.4375
audio927.webm,11.5,355351.46875
audio927.webm,12.0,351973.78125
audio927.webm,12.5,352994.34375
audio927.webm,13.0,334185.125
audio927.webm,13.5,398682.5
audio927.webm,14.0,398691.15625
audio927.webm,14.5,353078.71875
audio927.webm,15.0,384695.6875
audio474.webm,,
audio474.webm,0.0,338378.03125
audio474.webm,0.5,408642.03125
audio474.webm,1.0,373943.65625
audio474.webm,1.5,394107.84375
audio474.webm,2.0,430033.78125
audio474.webm,2.5,386055.5
audio474.webm,3.0,370151.96875
audio474.webm,3.5,417258.15625
audio474.webm,4.0,396933.28125
audio474.webm,4.5,369834.96875
audio474.webm,5.0,376551.8125
audio474.webm,5.5,381964.1875
audio474.webm,6.0,378148.21875
audio474.webm,6.5,378596.15625
audio474.webm,7.0,413549.6875
audio474.webm,7.5,427289.59375
audio474.webm,8.0,365277.90625
audio474.webm,8.5,373315.78125
audio474.webm,9.0,342571.03125
audio474.webm,9.5,387939.59375
audio474.webm,10.0,382731.15625
audio474.webm,10.5,376325.625
audio474.webm,11.0,404951.84375
audio474.webm,11.5,372048.25
audio474.webm,12.0,322269.09375
audio474.webm,12.5,389415.8125
audio474.webm,13.0,351944.34375
audio474.webm,13.5,380226.40625
audio474.webm,14.0,399391.71875
audio474.webm,14.5,371810.71875
audio1104.webm,,
audio1104.webm,0.0,442103.15625
audio1104.webm,0.5,412761.03125
audio1104.webm,1.0,421065.1875
audio1104.webm,1.5,395729.8125
audio1104.webm,2.0,379618.78125
audio1104.webm,2.5,429000.78125
audio1104.webm,3.0,391963.5625
audio1104.webm,3.5,396511.34375
audio1104.webm,4.0,383092.28125
audio1104.webm,4.5,380204.09375
audio1104.webm,5.0,399023.78125
audio1104.webm,5.5,411780.15625
audio1104.webm,6.0,421695.71875
audio1104.webm,6.5,355730.28125
audio1104.webm,7.0,342460.375
audio1104.webm,7.5,376904.09375
audio1104.webm,8.0,375610.40625
audio1104.webm,8.5,418266.21875
audio1104.webm,9.0,386360.34375
audio1104.webm,9.5,406525.96875
audio1104.webm,10.0,349163.71875
audio618.webm,,
audio618.webm,0.0,360497.4375
audio618.webm,0.5,400119.09375
audio618.webm,1.0,410149.9375
audio618.webm,1.5,371677.71875
audio618.webm,2.0,384548.71875
audio618.webm,2.5,430191.84375
audio618.webm,3.0,364742.125
audio618.webm,3.5,404201.78125
audio618.webm,4.0,406071.21875
audio618.webm,4.5,403376.5
audio618.webm,5.0,346840.96875
audio618.webm,5.5,382903.875
audio618.webm,6.0,364426.3125
audio618.webm,6.5,339487.71875
audio618.webm,7.0,375471.78125
audio618.webm,7.5,393243.625
audio618.webm,8.0,396861.59375
audio618.webm,8.5,409472.09375
audio618.webm,9.0,392897.34375
audio618.webm,9.5,368974.71875
audio618.webm,10.0,400197.1875
audio618.webm,10.5,380900.8125
audio618.webm,11.0,398596.71875
audio618.webm,11.5,395002.59375
audio618.webm,12.0,373183.90625
audio618.webm,12.5,401652.25
audio618.webm,13.0,376458.84375
audio618.webm,13.5,353331.6875
audio618.webm,14.0,417447.6875
audio1041.webm,,
audio1041.webm,0.0,373559.1875
audio1041.webm,0.5,409227.625
audio1041.webm,1.0,420894.71875
audio1041.webm,1.5,421808.53125
audio1041.webm,2.0,397285.46875
audio1041.webm,2.5,379267.1875
audio1041.webm,3.0,386426.15625
audio1041.webm,3.5,401575.71875
audio1041.webm,4.0,340306.34375
audio1041.webm,4.5,350217.34375
audio1041.webm,5.0,365675.65625
audio1041.webm,5.5,351637.15625
audio248.webm,,
audio248.webm,0.0,359238.65625
audio248.webm,0.5,372996.25
audio248.webm,1.0,379428.34375
audio248.webm,1.5,408505.3125
audio248.webm,2.0,364344.6875
audio248.webm,2.5,367059.34375
audio248.webm,3.0,391783.28125
audio248.webm,3.5,409165.59375
audio248.webm,4.0,380766.78125
audio248.webm,4.5,325344.84375
audio248.webm,5.0,402912.96875
audio248.webm,5.5,371446.625
audio248.webm,6.0,341000.46875
audio248.webm,6.5,381821.75
audio248.webm,7.0,403204.90625
audio248.webm,7.5,411571.65625
audio874.webm,,
audio874.webm,0.0,392820.53125
audio874.webm,0.5,433157.21875
audio874.webm,1.0,404397.03125
audio874.webm,1.5,414899.5625
audio874.webm,2.0,396396.375
audio874.webm,2.5,423325.09375
audio874.webm,3.0,430917.375
audio874.webm,3.5,380361.71875
audio874.webm,4.0,384623.46875
audio874.webm,4.5,395179.3125
audio527.webm,,
audio527.webm,0.0,413005.15625
audio527.webm,0.5,425338.34375
audio527.webm,1.0,412460.3125
audio527.webm,1.5,407920.40625
audio527.webm,2.0,363501.28125
audio527.webm,2.5,382073.46875
audio527.webm,3.0,361157.71875
audio527.webm,3.5,332930.21875
audio527.webm,4.0,391171.8125
audio527.webm,4.5,396479.34375
audio527.webm,5.0,383480.75
audio527.webm,5.5,356396.96875
audio527.webm,6.0,393430.875
audio527.webm,6.5,424200.03125
audio527.webm,7.0,407331.375
audio527.webm,7.5,371607.28125
audio527.webm,8.0,354978.28125
audio527.webm,8.5,357907.96875
audio527.webm,9.0,425820.34375
audio527.webm,9.5,364475.75
audio527.webm,10.0,388299.28125
audio527.webm,10.5,406002.9375
audio527.webm,11.0,387425.59375
audio527.webm,11.5,360029.46875
audio527.webm,12.0,372022.28125
audio527.webm,12.5,399547.40625
audio527.webm,13.0,371029.90625
audio527.webm,13.5,407128.125
audio527.webm,14.0,412208.125
audio527.webm,14.5,420687.09375
audio177.webm,,
audio177.webm,0.0,375551.15625
audio177.webm,0.5,406052.6875
audio177.webm,1.0,388215.96875
audio177.webm,1.5,386901.90625
audio177.webm,2.0,353559.53125
audio177.webm,2.5,365699.40625
audio177.webm,3.0,391173.21875
audio177.webm,3.5,392982.3125
audio177.webm,4.0,406650.03125
audio177.webm,4.5,419195.1875
audio177.webm,5.0,367475.59375
audio177.webm,5.5,387417.46875
audio177.webm,6.0,404407.71875
audio177.webm,6.5,397600.6875
audio177.webm,7.0,383796.53125
audio177.webm,7.5,401532.65625
audio177.webm,8.0,387502.40625
audio177.webm,8.5,359282.15625
audio177.webm,9.0,389558.46875
audio177.webm,9.5,406894.15625
audio177.webm,10.0,388910.15625
audio177.webm,10.5,355161.25
audio177.webm,11.0,458122.59375
audio177.webm,11.5,423815.09375
audio177.webm,12.0,362159.71875
audio177.webm,12.5,347873.46875
audio177.webm,13.0,401905.3125
audio177.webm,13.5,390249.75
audio177.webm,14.0,369730.875
audio177.webm,14.5,391289.71875
audio177.webm,15.0,377982.09375
audio177.webm,15.5,381021.875
audio177.webm,16.0,394055.0625
audio177.webm,16.5,385513.84375
audio177.webm,17.0,374964.1875
audio177.webm,17.5,377414.71875
audio177.webm,18.0,358908.09375
audio177.webm,18.5,379884.9375
audio177.webm,19.0,356167.40625
audio177.webm,19.5,378920.03125
audio177.webm,20.0,370078.65625
audio177.webm,20.5,379361.875
audio177.webm,21.0,392256.625
audio177.webm,21.5,401819.875
audio177.webm,22.0,356731.59375
audio198.webm,,
audio198.webm,0.0,416633.875
audio198.webm,0.5,416113.96875
audio198.webm,1.0,405301.90625
audio198.webm,1.5,374816.96875
audio198.webm,2.0,372831.71875
audio198.webm,2.5,386671.59375
audio198.webm,3.0,390982.625
audio198.webm,3.5,366475.40625
audio198.webm,4.0,427883.90625
audio198.webm,4.5,428639.65625
audio198.webm,5.0,406582.9375
audio198.webm,5.5,387704.84375
audio198.webm,6.0,359613.40625
audio198.webm,6.5,399072.46875
audio198.webm,7.0,357818.9375
audio198.webm,7.5,404351.53125
audio198.webm,8.0,357254.71875
audio198.webm,8.5,376729.46875
audio198.webm,9.0,376714.75
audio198.webm,9.5,417176.34375
audio198.webm,10.0,409904.3125
audio198.webm,10.5,401444.65625
audio198.webm,11.0,393038.84375
audio198.webm,11.5,379599.84375
audio198.webm,12.0,410278.4375
audio198.webm,12.5,400305.59375
audio198.webm,13.0,408112.53125
audio198.webm,13.5,389826.21875
audio10.webm,,
audio10.webm,0.0,372633.03125
audio10.webm,0.5,403334.53125
audio10.webm,1.0,448163.09375
audio10.webm,1.5,413440.28125
audio10.webm,2.0,401034.625
audio10.webm,2.5,394825.28125
audio10.webm,3.0,363867.21875
audio10.webm,3.5,389016.09375
